COL-0004,42.3638427627,-71.0995950065
COL-0002,42.3638212924,-71.0996231901
CAMB-0753,42.3723218087,-71.0894226569
CAMB-0751,42.372289019,-71.0892848515
APP-0020,42.3753906424,-71.1216597569
THRD-0074,42.3704412883,-71.0799368414
THRD-0072,42.3704901999,-71.0799251372
THRD-0070,42.37057012,-71.0799060108
THRD-0068,42.3706255021,-71.0798927648
THRD-0066,42.3706782247,-71.079880147
THRD-0064,42.3707340865,-71.0798667868
THRD-0062,42.3707862196,-71.0798543024
THRD-0060,42.3708357618,-71.0798424458
MTA-0680,42.374924918,-71.1489868058
MTA-0682,42.3749193443,-71.1490531747
MTA-0692,42.3748467963,-71.1494598571
MTA-0690,42.3748777489,-71.1493561726
MTA-0688,42.3748993973,-71.1492834047
MTA-0686,42.3749025016,-71.1492485624
MTA-0684,42.3749123002,-71.1491368347
MASS-1626,42.3806971806,-71.1199536217
MASS-1620,42.380550579,-71.1199827799
MASS-1618,42.3804901228,-71.1199897498
MASS-1616,42.3804048973,-71.119999663
MASS-1614,42.3803725573,-71.120003466
MASS-1612,42.3803062594,-71.1200114148
MASS-1610,42.3802478477,-71.1200184279
MASS-1608,42.3801669684,-71.1200273895
MASS-1677,42.3824445686,-71.1195406216
MASS-1675,42.3824176442,-71.1195432449
MASS-1673,42.3823517095,-71.1195489715
MASS-1671,42.3822921584,-71.1195557885
MASS-1695,42.3829865511,-71.1194665171
MASS-1693,42.382952491,-71.1194853768
MASS-1691,42.3829025813,-71.1194910071
MASS-1689,42.3828172313,-71.1195005704
MASS-1687,42.3827785805,-71.1195045228
MASS-1685,42.3826981737,-71.1195111138
MASS-1733,42.3842012867,-71.1193480908
MASS-1735,42.3842343443,-71.1193455414
MASS-1737,42.3842948362,-71.1193410872
MASS-1755,42.3850371447,-71.1192574259
MASS-1753,42.3850025974,-71.1192617425
MASS-1751,42.3849451432,-71.1192678442
MASS-1775,42.3857177953,-71.1191824994
MASS-1773,42.3856771699,-71.1191867972
MASS-1769,42.3855621981,-71.1192005928
MASS-1771,42.3856233253,-71.1191932474
MASS-1767,42.3855051971,-71.11920684
MASS-1782,42.3857807782,-71.1194167027
MASS-1784,42.3858110894,-71.1194134665
MASS-1786,42.3859025996,-71.119403847
MASS-1788,42.3859329799,-71.1194007585
MASS-1790,42.386020364,-71.1193922927
MASS-1792,42.3860587128,-71.1193882864
MASS-1793,42.3864995809,-71.1191000956
MASS-1789,42.3863710526,-71.1191136402
MASS-1791,42.3864420717,-71.1191061424
MASS-1950,42.3895204549,-71.1202550095
MASS-1952,42.3895685571,-71.1203045273
MASS-1954,42.3896165635,-71.1203541382
MASS-1956,42.3896640194,-71.1204032158
MASS-1973,42.3900559379,-71.1205273517
MASS-1975,42.3900981869,-71.120578534
MASS-1977,42.3901319664,-71.1206409836
MASS-1979,42.3901806951,-71.1206808368
MASS-1981,42.3902198439,-71.1207280585
MASS-2044,42.3909170497,-71.1224703675
MASS-2046,42.3909471373,-71.1225369683
MASS-2048,42.3909751515,-71.1225989174
MASS-2050,42.3910025852,-71.1226595558
MASS-2096,42.3915171527,-71.1236779694
MASS-2100,42.3916013165,-71.1238049044
MASS-2098,42.3915579685,-71.1237402691
MASS-2102,42.3916436239,-71.1238660292
MASS-2105,42.3917011171,-71.1236032633
MASS-2103,42.3916618521,-71.123545304
MASS-2151,42.3921792327,-71.1242552786
MASS-2153,42.3922326123,-71.1242954228
MASS-2155,42.3922834852,-71.1243326391
MASS-2171,42.3925873487,-71.1247068725
MASS-2159,42.3924488746,-71.1245359082
MASS-2157,42.392361067,-71.1244567466
MASS-2173,42.3928151752,-71.1249470144
MASS-2205,42.3932537082,-71.12542026
MASS-2203,42.3932055644,-71.125365701
MASS-2201,42.3931526502,-71.1253251082
MASS-2209,42.3934580076,-71.1256703194
MASS-2207,42.3934009495,-71.1256253454
MASS-2223,42.3938555797,-71.1260962837
MASS-2221,42.3938089072,-71.1260637232
MASS-2219,42.3937662202,-71.1260163129
MASS-2217,42.3937300931,-71.1259567213
MASS-2215,42.3936881897,-71.1259097877
MASS-2213,42.3936463551,-71.1258629463
MASS-2211,42.3935871024,-71.125835014
MASS-2255,42.3943010225,-71.1266286437
MASS-2257,42.3943529797,-71.1266493087
MASS-2277,42.3948028358,-71.1271556254
