NEUTRAL,SNOW EMERG.,null,42.36942437200048,-71.09557241999966
NEUTRAL,SNOW EMERG.,null,42.397336587000495,-71.13022066999963
NEUTRAL,SNOW EMERG.,null,42.39881037200047,-71.12987556099966
NEUTRAL,SNOW EMERG.,null,42.363242872000455,-71.10421136399964
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.361572063000494,-71.10841258399967
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.37265701400048,-71.09220689199964
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.361732231000474,-71.10825241599963
NEUTRAL,SNOW EMERG.,null,42.3614654320005,-71.08829511699963
NEUTRAL,SNOW EMERG.,null,42.36776096900047,-71.10563327999967
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.372570935000454,-71.12014970199965
NEUTRAL,SNOW EMERG.,null,42.37030290300049,-71.10358106599966
NEUTRAL,SNOW EMERG.,null,42.37460621100047,-71.12926550799966
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.379243328000484,-71.11659402399965
NEUTRAL,SNOW EMERG.,null,42.369163296000465,-71.09522126199965
NEUTRAL,SNOW EMERG.,null,42.364391697000485,-71.10529105199964
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.364391697000485,-71.10529105199964
NEUTRAL,SNOW EMERG.,null,42.373378335000496,-71.12415997499966
NEUTRAL,SNOW EMERG.,null,42.39595845700046,-71.13088784099966
NEUTRAL,SNOW EMERG.,null,42.362104418000456,-71.09808583399962
NEUTRAL,SNOW EMERG.,null,42.36416354500045,-71.10170515099963
NEUTRAL,SNOW EMERG.,null,42.35896465200045,-71.09347506099965
NEUTRAL,SNOW EMERG.,null,42.362104418000456,-71.09808583399962
NEUTRAL,SNOW EMERG.,null,42.36232079100046,-71.09844053899963
NEUTRAL,SNOW EMERG.,null,42.37487170000048,-71.13370286499963
NEUTRAL,SNOW EMERG.,null,42.37991027100048,-71.11648664399962
NEUTRAL,SNOW EMERG.,null,42.37365834700046,-71.12127435299965
NEUTRAL,SNOW EMERG.,null,42.36579748100047,-71.11365546599967
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.37365834700046,-71.12127435299965
NEUTRAL,SNOW EMERG.,null,42.36942437200048,-71.09557241999966
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.375468656000464,-71.11429872199966
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.36582270500048,-71.09124720599965
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.36349176500045,-71.10393135999965
NEUTRAL,SNOW EMERG.,null,42.3901670890005,-71.13273725299968
NEUTRAL,SNOW EMERG.,null,42.37208789100049,-71.11883271499966
NEUTRAL,SNOW EMERG.,null,42.37244643100047,-71.10898952999963
NEUTRAL,SNOW EMERG.,null,42.3688210680005,-71.10460313999965
NEUTRAL,SNOW EMERG.,null,42.36582270500048,-71.09124720599965
NEUTRAL,SNOW EMERG.,null,42.36386717400046,-71.09904682099966
NEUTRAL,SNOW EMERG.,null,42.379243328000484,-71.11659402399965
NEUTRAL,SNOW EMERG.,null,42.3666858900005,-71.09426025899967
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.3965080960005,-71.13090742999964
NEUTRAL,SNOW EMERG.,null,42.36455647300045,-71.10686967799967
NEUTRAL,SNOW EMERG.,null,42.38249289200047,-71.11966691999964
NEUTRAL,SNOW EMERG.,null,42.37881996900046,-71.11663360099965
NEUTRAL,SNOW EMERG.,null,42.37167181300049,-71.08506389699966
NEUTRAL,SNOW EMERG.,null,42.36942437200048,-71.09557241999966
NEUTRAL,SNOW EMERG.,null,42.37249280700047,-71.09107040099963
NEUTRAL,SNOW EMERG.,null,42.375166684000476,-71.11163666899967
NEUTRAL,SNOW EMERG.,null,42.37592258100045,-71.12455950899965
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.3640110500005,-71.09929317099966
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.36610514000046,-71.10483590099966
NEUTRAL,SNOW EMERG.,null,42.3660325460005,-71.11360707099965
NEUTRAL,SNOW EMERG.,null,42.37477654300045,-71.13163442099966
NEUTRAL,SNOW EMERG.,null,42.3797331770005,-71.15110001599965
NEUTRAL,SNOW EMERG.,null,42.366791640000486,-71.10600946299962
NEUTRAL,SNOW EMERG.,null,42.373378335000496,-71.12415997499966
NEUTRAL,SNOW EMERG.,null,42.363242872000455,-71.10421136399964
NEUTRAL,SNOW EMERG.,null,42.39228267800047,-71.12444082399963
NEUTRAL,SNOW EMERG.,null,42.363823005000484,-71.09885493799965
NEUTRAL,SNOW EMERG.,null,42.36397870100046,-71.09923742099966
NEUTRAL,SNOW EMERG.,null,42.38944280400045,-71.12875579099966
NEUTRAL,SNOW EMERG.,null,42.3640110500005,-71.09929317099966
