overtime,OVERTIME,OXF-0049,42.37857940800046,-71.11657724799966
overtime,OVERTIME,OXF-0005,42.37641230100047,-71.11577912099966
overtime,OVERTIME,BOW-0013,42.37163263600047,-71.11566965499964
overtime,OVERTIME,MASS-0233,42.36159395600049,-71.09723545099962
overtime,OVERTIME,LAND-0037,42.3606932780005,-71.10000101899965
overtime,OVERTIME,LOT2-0017,42.366791640000486,-71.10600946299962
overtime,OVERTIME,BOW-0027,42.366791640000486,-71.10600946299962
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,null,42.377488532000484,-71.12305462899963
overtime,OVERTIME,SID-0094,42.36037714800045,-71.10237923599965
overtime,OVERTIME,AMES-0121,42.366791640000486,-71.10600946299962
overtime,OVERTIME,null,42.37465737500048,-71.12931843299964
overtime,OVERTIME,MTA-0116,42.37360832200045,-71.12364531299966
overtime,OVERTIME,VAS-0353,42.354385281000475,-71.10661156699967
overtime,OVERTIME,null,42.3614654320005,-71.08829511699963
overtime,OVERTIME,JFK-0036,42.371979473000465,-71.12058528899962
overtime,OVERTIME,KIRK-0007,42.3764964180005,-71.11482618399964
overtime,OVERTIME,KIRK-0027,42.37668582000049,-71.11399210399964
overtime,OVERTIME,MTA-0063,42.371530401000484,-71.11732752999967
overtime,OVERTIME,KIRK-0011,42.3764964180005,-71.11482618399964
overtime,OVERTIME,DUN-0028,42.37197255900048,-71.11946066199965
overtime,OVERTIME,MTA-0155,42.37390608800047,-71.12432098699963
overtime,OVERTIME,DUN-0038,42.37153802300048,-71.11970183299962
overtime,OVERTIME,BINY-0354,42.366791640000486,-71.10600946299962
overtime,OVERTIME,PLY-0050,42.37131230200049,-71.11708235199967
overtime,OVERTIME,null,42.3614654320005,-71.08829511699963
overtime,OVERTIME,OXF-0087,42.379243328000484,-71.11659402399965
overtime,OVERTIME,ARR-0008,42.3710726270005,-71.11457153099963
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,MASS-0183,42.361324323000474,-71.09677568999967
overtime,OVERTIME,MASS-1202,42.372587146000456,-71.11619558799964
overtime,OVERTIME,BOW-0015,42.371729092000464,-71.11562495099963
overtime,OVERTIME,KIRK-0029,42.37719834000046,-71.11144704799966
overtime,OVERTIME,MTA-0113,42.37195535800049,-71.11846166999965
overtime,OVERTIME,VAS-0259,42.366791640000486,-71.10600946299962
overtime,OVERTIME,BRAT-0035,42.3737908600005,-71.12129624699963
overtime,OVERTIME,CAMB-0111,42.375468656000464,-71.11429872199966
overtime,OVERTIME,CAMB-0753,42.372306721000484,-71.08959697399962
overtime,OVERTIME,BLK-0017,42.36237620100047,-71.11445087799967
overtime,OVERTIME,VAS-0353,42.354385281000475,-71.10661156699967
overtime,OVERTIME,LIND-0000,42.366791640000486,-71.10600946299962
overtime,OVERTIME,AMH-0005,42.36097633300045,-71.08478965499967
overtime,OVERTIME,CAMB-0127,42.370876739000494,-71.07843712499965
overtime,OVERTIME,ALB-0110,42.366791640000486,-71.10600946299962
overtime,OVERTIME,VAS-0063,42.36094522200045,-71.09327275399966
overtime,OVERTIME,MASS-0022,42.35894244500048,-71.09354161299967
overtime,OVERTIME,VAS-0021,42.36157854300046,-71.09201785399966
overtime,OVERTIME,null,42.35731553400046,-71.10063352899965
overtime,OVERTIME,MAIN-0391,42.366791640000486,-71.10600946299962
overtime,OVERTIME,GRE-0314,42.366791640000486,-71.10600946299962
overtime,OVERTIME,BINY-0372,42.366791640000486,-71.10600946299962
overtime,OVERTIME,THDK-0017,42.369496306000485,-71.07880700699963
overtime,OVERTIME,MASS-1341,42.37324314400047,-71.11824969799966
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,MASS-1045,42.3698362290005,-71.11251124999967
overtime,OVERTIME,null,42.36094522200045,-71.09327275399966
overtime,OVERTIME,WADS-0018,42.366791640000486,-71.10600946299962
overtime,OVERTIME,AMES-0035,42.360735528000475,-71.08811314199966
overtime,OVERTIME,CAMB-1549,42.37462626400048,-71.10749651999964
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,VAS-0021,42.36157854300046,-71.09201785399966
overtime,OVERTIME,DEW-0020,42.37009203500048,-71.11663180999966
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,FUL-0128,42.366791640000486,-71.10600946299962
overtime,OVERTIME,JFK-0044,42.371898813000485,-71.12065557799963
overtime,OVERTIME,AMES-0040,42.361196419000464,-71.08826493599963
overtime,OVERTIME,THRD-0105,42.369287743000484,-71.08026579599965
overtime,OVERTIME,null,42.37476684300049,-71.13112866699964
overtime,OVERTIME,null,42.37469655300049,-71.12996947199963
overtime,OVERTIME,AMES-0103,42.36008535800045,-71.08772482399962
overtime,OVERTIME,PLY-0037,42.366791640000486,-71.10600946299962
overtime,OVERTIME,BOW-0013,42.37163263600047,-71.11566965499964
overtime,OVERTIME,DUN-0009,42.37281487700045,-71.11908040899965
overtime,OVERTIME,KIRK-0009,42.3764964180005,-71.11482618399964
overtime,OVERTIME,null,42.366791640000486,-71.10600946299962
overtime,OVERTIME,GARD-0036,42.37625328600046,-71.12164193099966
overtime,OVERTIME,HAMP-0191,42.37287364400049,-71.09975203299967
overtime,OVERTIME,BRAT-0065,42.375122898000484,-71.12260293399964
overtime,OVERTIME,OXF-0021,42.377618449000465,-71.11621935099964
overtime,OVERTIME,OXF-0005,42.37641230100047,-71.11577912099966
overtime,OVERTIME,null,42.3746340130005,-71.12883277199967
