Intersecti,Intersec_1,the_geom,NodeNumber,TurnRestri,P_X,P_Y,Street1,Street2,EditDate,created_us,created_da,last_edite,last_edi_1,GlobalID
Brewster St & Riedesel Ave,2,POINT (-71.1319848245799 42.37858855545318),755,,755601.89,2963201.81,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{51338E9F-7984-4E14-88A3-4488D5521953}
Fountain Ter & Holworthy St,2,POINT (-71.15096511345087 42.37860404844073),758,,750473.55,2963185.9,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C12BD4B4-FEA8-40DB-9B04-FFBCB9D02143}
Concord Ave & Garden St,2,POINT (-71.12370878468765 42.378324777964394),763,,757838.43,2963115.44,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{0701D64F-D9C0-414A-9EA7-E74FFDBB1E3E}
Appleton St & Brewster St,2,POINT (-71.13362313394934 42.37832826867679),764,,755159.64,2963105.05,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{23A8EBD3-244B-45AF-9E57-3BAEA28B2E05}
Buckingham St & Craigie St,2,POINT (-71.12915314940275 42.37824443896419),765,,756367.53,2963079.72,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{FE8D67C1-FB7B-4319-AE99-01EB63365946}
Concord Ave & Follen St,2,POINT (-71.12335975720097 42.37820959229447),767,,757932.92,2963073.88,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{6EC42219-9C9F-4B12-A375-17D31CF51221}
Lawn St & Oxford Ave,2,POINT (-71.15532546964528 42.378303548349955),768,,749295.86,2963071.6,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{538B0B30-DCFA-46DC-A701-C50CB42735F4}
Kirkland St & Line St,2,POINT (-71.1072740463804 42.378088080409455),769,,762279.37,2963049.2,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{159B8C83-D9AF-4EA2-B19B-EE011C53AA36}
Holworthy St & Locust St,2,POINT (-71.15084495611714 42.37816531941435),772,,750506.67,2963026.15,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{06B21817-7100-445C-9980-F82F968E348C}
Fresh Pond Ln & Meadow Way,2,POINT (-71.1448136031975 42.378134370526986),774,,752136.35,2963021.6,,,,,11/30/1899 12:00:00 AM +0000,,11/30/1899 12:00:00 AM +0000,{C2CCA75F-8C35-4676-B0BE-AD4ADDEA6B08}
